2020-12-18 14:46:33.185 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-18 14:46:36.198 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-18 14:46:36.274 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService
2020-12-18 14:46:37.964 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-18 14:46:39.560 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-18 14:46:39.760 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-12-18 14:46:39.800 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-12-18 14:46:39.893 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-12-18 14:46:40.200 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-8150"]
2020-12-18 14:46:40.248 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8150 (http) with context path ''
2020-12-18 14:46:40.283 [main] INFO  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - nacos registry, service-ucenter 192.168.80.10:8150 register finished
2020-12-18 14:46:41.940 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-18 14:46:41.944 [main] INFO  com.nova.ucenterService.ServiceUcApplication - Started ServiceUcApplication in 22.202 seconds (JVM running for 24.256)
2020-12-21 09:48:32.500 [main] INFO  com.nova.eduService.EduApplication - The following profiles are active: dev
2020-12-21 09:48:33.769 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-21 09:48:33.774 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-12-21 09:48:33.808 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17ms. Found 0 repository interfaces.
2020-12-21 09:48:34.132 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=1a30c280-23cf-376e-ade0-955c175391b9
2020-12-21 09:48:34.271 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-21 09:48:34.319 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.nova.servicebase.RedisConfig$$EnhancerBySpringCGLIB$$54977191] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-21 09:48:34.367 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-21 09:48:34.681 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2020-12-21 09:48:34.692 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-8001"]
2020-12-21 09:48:34.693 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-21 09:48:34.694 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2020-12-21 09:48:34.858 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-21 09:48:34.859 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2314 ms
2020-12-21 09:48:35.526 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-12-21 09:48:36.383 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-12-21 09:48:38.932 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-21 09:48:38.964 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-21 09:48:38.969 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-21 09:48:39.151 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-21 09:48:41.138 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-21 09:48:41.191 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService
2020-12-21 09:48:42.684 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-21 09:48:44.162 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-21 09:48:44.330 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-12-21 09:48:44.368 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-12-21 09:48:44.440 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-12-21 09:48:44.902 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: indexUsingGET_1
2020-12-21 09:48:44.934 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-8001"]
2020-12-21 09:48:44.970 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2020-12-21 09:48:44.997 [main] INFO  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - nacos registry, service-edu 192.168.80.10:8001 register finished
2020-12-21 09:48:46.535 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-21 09:48:46.538 [main] INFO  com.nova.eduService.EduApplication - Started EduApplication in 19.235 seconds (JVM running for 21.308)
2020-12-21 09:51:59.688 [http-nio-0.0.0.0-8001-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-21 09:51:59.689 [http-nio-0.0.0.0-8001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-21 09:51:59.700 [http-nio-0.0.0.0-8001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
